polarity_human,fetch_time,title,content
1,2012-02-11,Lexington獲逾50買家洽購,"圖：Lexington Hill共104夥,面積757至2962呎  樓市轉勢,新盤提速起動,會德豐（00020）西環新盤Lexington Hill,搶閘做龍年頭炮,昨日低調向代理開放設於卑路乍街的展覽館,並即時接獲超過50名買家主動洽購,反應熱烈,樓書同時於昨日上載網頁,發展商稱最快可於下周開賣.另傳興勝創建（00896）九龍塘書院道8號終破蛋,以4300萬沽出1夥.  會德豐龍年頭炮Lexington Hill,屬同係08年西半山The Babington之後首個全新住宅樓盤,該盤部署開賣多時,趁近日市況回勇,昨日低調向代理開放展覽館.會德豐地産市務部助理總經理何詠儀承認,該盤特別於卑路乍街100號搭建的豪華展覽館,確實向代理開放,強調未有委託代理進行任何收票及推銷等活動.  她又稱,項目樓書同於昨日上載網頁,根據指引,最快可以下周開賣,唯未有具體開賣時間表.  市場消息指,西區擁港島西鐵線及西隧兩大基建,不少買家及投資者早已吼實該盤,大量代理得悉發展商開放展覽館後皆聞風而至,場面熱鬧,不少買家更即時透過代理出價,據悉昨日超過50名買家主動出價洽購,盛傳5樓B室平台單位獲有興趣買家問價,單位面積783呎連967呎平台,出價每呎約1.5萬元,涉資1174萬元.  Lexington Hill總共104夥,面積757至1004呎,另有6夥特色戶,包括2夥複式分別1938及2962呎、1夥相連1951呎及3夥花園平台單位,面積由757至955呎不等,平台592至967呎.  該盤雖屬單幢樓,但設施齊備,計有游泳池、健身室、多用途室、燒烤設施、休閒區及綠化區等；另住宅每呎管理費2.5元,最快2014年9月入夥.  另外,市場消息指,��0101）見市況轉旺解封大角咀浪澄灣,該盤1200夥貨尾準備投入搶客,據傳意向呎價8000元."
-1,2012-02-11,城市花園海景戶售價創新低,"樓市小陽春登陸,細價樓向旺,中價樓售價卻下滑,北角兩大指標屋苑城市花園及和富中心雙雙淪陷,前者連露台全海景戶劈價14%後以1060萬沽,較去年同類單位高位回落23%,創該類單位新低；另火炭禦龍山更錄蝕讓個案  1060萬成交 呎價9217元  中原豪宅STATELYHOME北角半山高級分區經理陳家鴻表示,城市花園7座中高層A室,單位面積1150方呎,3房套房間隔連露台,望郵輪碼頭景,為屋苑的優質單邊樓王.原業主叫價1238萬元,惟放盤一段時間無人問津,恐後市下行被迫大幅減價至1060萬元沽出,呎價約9217元,減幅達14%.屋苑同類單位8座中層A室去年4月造價為1380萬元,過去1年樓價不升反跌,大幅回落23%,成交價並創屋苑同類單位造價新低.  原業主早於93年買入,當時作價510萬元,故是次轉手獲利甚豐,帳面賺550萬元,單位升值約52%.  毗鄰城市花園的和富中心,同錄低殘造價,2座高層C室944呎,業主去年11月叫價1100萬,放盤3個月卒獲洽購,最後稍微減90萬元以1010萬易手,單位坐擁煙花全海景,呎價僅近1.07萬元,較去年同類單位的高位低20%  此外,同屬中價樓的沙田禦龍山表現低沉,更錄得蝕讓成交.消息指屋苑7座16A室,面積1300呎,原訂連租約以1200萬放售,最後要割價102萬元以1098萬甩手,相對08年6月一手購入價1156萬元,業主帳面蝕58萬元,連其他行政費用蝕過百萬元.  中價樓獨憔悴,細價樓卻當旺,美聯物業元朗教育路分行助理聯席董事林振華表示,該區小陽春氣氛帶動,二手市場暢旺,交投熱烈,買家入市顯見加快,新近Yoho Town3座中層H室約580呎兩房望樓景,以280.8萬元易手,呎價約4841元,惟造價較市場低約5%.相較09年購入價195萬元,帳面獲利約85.8萬元,物業升值約44%.  利嘉閣地産皇牌屋苑沙田第一城銀城分行（B組）高級經理洪振興表示,沙田第一城今月交投頻繁,個別罕有3房單位亦獲承接,2期18座高層E室622方呎,380萬元易手,呎價6109元.賣方99年7月以225萬元購入,轉手帳面獲利155萬元離場,折算賺幅接近69%.沙田第一城今月首9天累積成交量已超越40宗水平."
-1,2012-02-11,金價偏軟 (經濟)  ,"由於希臘債務談判波瀾再起,避險資金湧入美元市場,減低黃金的保值吸引力,紐約期金小幅下滑.金價下跌,主要跟隨其他商品期貨及股市的跌勢,以及由於投資者對希臘援助計劃感到憂慮,繼而令美元匯率和美國國債價格上升,資金流出金市.紐約期金每盎司收市報1725.3美元,下跌15.9美元,跌幅0.9%."
-1,2012-02-11,【國際財經】希臘債情生變，國際油價金價大幅走低,"財華社香港新聞中心國際油價、金價週五雙雙大幅走低,因許多投資者仍擔憂希臘債務問題,在週末前進行獲利了結.截止北京時間23：30,紐約商品期貨交易所原油主力合約報98.50美元,下跌1.34美元,或1.34%；黃金期貨合約報1721.40美元,下跌19.80美元,或1.14%.希臘當局雖就緊縮協定達成一致,但國際借款方仍推遲放款,而希臘國內亦出現了巨大的反對聲音,這一切都使希臘能否獲得第二輪援助存在巨大的不確定性.而一旦無法及時獲得金援,希臘3月將面臨無序違約風險.受希臘領導人就財政緊縮方案達成一致消息提振,國際油價金價週四收高.更多精彩內容,請登陸財華中國網 (http://www.caihuanet.com) 或財華香港網 (http://www.finet.hk)"
1,2012-02-11,豐園成交呎價3120元,"掃管笏地皮造價不俗,加上樓市小陽春來臨,推動屯門區二手轉活,買家爭相入市.  中原地産屯門置樂分行分區營業經理劉月華表示,屯門豐園1座高層E室,面積593平方呎,新近以185萬元易手,呎價3120元.買家為同區換樓客,新年後見市況好轉而加快入市.原業主於97年8月以176.5萬元購入上址,持貨14年多,轉手帳面獲利8.5萬元,單位約5%.豐園本月錄得3宗成交,平均呎價3318元.  祥益地産分行主管陳阿麗表示,屯門兆禧苑A座低層1室放盤約1個月,獲區內客以143萬承接,建築面積495呎,實用面積363呎,一房一廳（改兩房一廳）,呎價2889元,單位原業主持貨兩年多,轉手帳面獲利達55.2萬."
1,2012-02-10,【市場動態】希臘各政黨通過緊縮方案，道指創3年半新高,"財華社香港新聞中心希臘各政黨通過緊縮方案,道指創3年半新高,高見12924.71,收市升6.51點,報12890.46點.Miller Tabak首席經濟策略師Andrew Wilkinson表示,希臘通過緊縮方案,只是去除其中的障礙,以及降低歐元區的風險,不認為美股會因此而同步上升,市場需要經濟數據支持,或聯儲局因應數據出手.(P)更多精彩內容,請登陸財華中國網(http://www.caihuanet.com)或財華香港網(http://www.finet.hk)"
1,2012-02-10,【內銀監管】總行制定之價格，分行不得違反,"財華社香港新聞中心人行監管意見指,國務院價格主管部門、國務院銀行業監督管理機構、中國人民銀行,將制定和調整,實行政府定價的商業銀行服務專案和標準,以及實行政府指導價的商業銀行服務專案、基準價格和浮動幅度.除規定實行政府指導價、政府定價的商業銀行服務價格以外,商業銀行服務價格實行市場調節價.而實行市場調節價的商業銀行服務價格應由商業銀行總行（總公司）制定和調整.分支機搆不得違反總行（總公司）的規定,自行制定和調整服務價格.如要實行有別的價格,應獲得總行（總公司）的授權.外國銀行分行根據其總行（或地區總部）的授權,制定和調整服務價格.更多精彩內容,請登陸財華中國網(http://www.caihuanet.com)或財華香港網(http://www.finet.hk)"
1,2012-02-10,【大行報告】高盛調高新濠 (06883-HK) 目標價至33元,"財華社香港新聞中心高盛發表報告指出,新濠博亞第四季收入及經調整EBITDA,按季分別跌5%及4%,較該行預期為高,主要受惠於旗下新濠天地表現勝預期,中場業務穩�F賓業務疲弱.高盛把新濠2012-13年EBITDA預測調高7%-8%,目標價由30.2元調高至33元,評級維持「中性」,反映新濠天地節省成本.報告預期,金沙城中心項目將攤薄新濠天地的賭博收益,料今年EBITDA下跌8%.(H)更多精彩內容,請登陸財華中國網(http://www.caihuanet.com)或財華香港網(http://www.finet.hk)"
1,2012-02-10,《公司業績》宏利金融<00945.HK>扭虧去年賺1.3億加元,宏利金融00945.HK公布2011年度第四季度，錄得虧損6900萬加元，相對上年同期純利17.96億加元，季內作出商譽減值撥備6.65億加元。全年則錄得純利1.29億加元，每股盈利0.02加元，相對2010年度虧損16.63億加元。撇除股市及利率波動之直接影響，年度純利為11.93億加元。年內，宏利完成為期三年的產品組合重整計劃，公司將繼續大力發展財富管理產品、保險和收費產品，並減少涉及利率及股票擔保。(de/d)
-1,2012-02-10,【盈利預警】味千(00538-HK)預計全年溢利減20%至30%,"財華社香港新聞中心味千(中國)公布,預計2011年度,股東應佔綜合溢利較2010年減少20%至30%,董事會認為,盈利減少,主要由於部分媒體於2011年第3季度前後報道味千(中國)產品的若干事宜,令收入減少,以及於2011年向集團部分僱員授出購股權所產生的以股份為基礎支付之款項確認開支所致.(S)更多精彩內容,請登陸財華中國網(http://www.caihuanet.com)或財華香港網(http://www.finet.hk)"
-1,2012-02-10,巴菲特：低利率和通膨令債券成為最危險資產之一,"《彭博》援引柏克夏董事長巴菲特的話說,鑒於低利率和所面臨的通膨風險,投資者應該避免買入債券和其他與貨幣關係密切的證券.巴菲特在財富雜誌網站週四發佈的改寫版年度股東信件說：「這些證券是最危險的資產之一.在過去一個世紀,這些投資工具已經破壞了許多國家投資者的購買力,儘管這些資產的持有人繼續獲得及時的本息償付.」巴菲特的上述言論與貝萊德執行長Laurence D. Fink的觀點不謀而合.Fink本周表示,投資者應該將全部資金投入股票,原因是股票估值處於受抑制的水準,並且聯儲會承諾繼續維持低利率.巴菲特指出：「當然,較高的利率可以為購買貨幣相關資產的投資者提供有關通膨風險的補償.在20世紀80年代初,高利率的確出色地完成了這項工作.但是,當前利率難以彌補投資者所面臨的購買力風險.就目前而言,應該警惕債券投資.」在其他基於貨幣的投資中,巴菲特認為可能存在風險的投資包括貨幣市場基金、抵押貸款和銀行存款.-華富財經Quamnet/Wendy-													分享到：  		  		  		  		  				 寄給朋友													收件人電郵 *：						你的名字						你的電郵地址 *：						私人訊息：																					關閉			2169300ZH_TWhttp://www.quamnet.com/newscontent.action?articleId=2169300||request_locale=ZH_TWnewscontent.action巴菲特：低利率和通膨令債券成為最危險資產之一《彭博》援引柏克夏董事長巴菲特的話說,鑒於低利率和所面臨的通膨風險,投資者應該避…NEW_HEAD"
-1,2012-02-10,【財華快訊】香港股市最新行情,"恆指最新報 20922.55點,跌 87.46  點,成交 212.23 億﹔即月期指高水 6 點,最新報 20929.0 點﹔紅籌指數最新報 4165.37點,漲 29.47  點﹔國企指數最新報 11537.32點,跌 131.83  點﹔Ｈ股指數期貨最新報 11555.0 點.最新五大升幅股份中,包括盈信控股(0015-HK) 、萬威國際(0167-HK) 、恆富控股(0643-HK) 、順風光電(1165-HK) 以及太平地氈(0146-HK) ,升幅分別為 30.95%、17.02%、16.0%、15.56%及14.84%.主板最新五大成交額股份中,包括工商銀行(1398-HK)報 5.39 元、保利協鑫能源(3800-HK)報 3.04 元、中國平安(2318-HK)報 64.0 元、農業銀行(1288-HK)報 3.77 元、建設銀行(0939-HK)報 6.28 元.主要藍籌股走勢：----------------------------------匯豐控股(0005-HK)報 69.5 元,漲 0.15 元中國移動(0941-HK)報 78.6 元,漲 0.6 元工商銀行(1398-HK)報 5.39 元,跌 0.07 元建設銀行(0939-HK)報 6.28 元,跌 0.07 元中國銀行(3988-HK)報 3.31 元,跌 0.05 元中國人壽(2628-HK)報 22.55 元,跌 0.3 元中國石油(0857-HK)報 11.52 元,跌 0.26 元中海油(0883-HK)報 17.52 元,漲 0.06 元和記黃埔(0013-HK)報 76.3 元,跌 0.55 元新鴻基地產(0016-HK)報 109.9 元,跌 0.2 元.***以上信息與實際發放時間延遲十五分鐘,並供用戶參考."
-1,2012-02-10,《盈警響號》收入減  味千<00538.HK>預告全年純利跌20-30%,味千中國00538.HK發盈警，預期去年12月底止全年純利按年減少20%-30%，主要因為媒體報道集團產品之若干事宜，令收入減少；以及向部分僱員授出購股權產生款項確認開支所致。(mi/d)
-1,2012-02-10,阿根廷玉米產量料降至2130萬噸，因受乾旱影響,"根據《廣發期貨》財經網顯示,布宜諾斯艾利斯穀物交易所週四稱,下調阿根廷2011/12年度玉米產量預估至2130萬噸,低於此前預估的2200萬噸,因受乾旱影響.布宜諾斯艾利斯穀物交易所在周度作物報告中稱,維持阿根廷2011/12年度大豆產量4620萬噸的預估不變.阿根廷潘帕斯草原農田12月和1月初遭遇幹熱天氣,正值玉米作物開花期.該國主要出口農作物--大豆受損較�蜷_花期延長令作物有更多時間來吸收可獲得的水分.近期降水令大多地區乾旱結束.但農戶稱此前乾燥天氣對一些玉米作物造成了不可挽回的損失,南半球夏季高溫和拉尼娜氣象導致乾燥天氣.拉尼娜現象由赤道附近東太平洋水溫反常下降引發的.該現象通常造成南半球乾燥天氣.													分享到：  		  		  		  		  				 寄給朋友													收件人電郵 *：						你的名字						你的電郵地址 *：						私人訊息：																					關閉			2170190ZH_TWhttp://www.quamnet.com/newscontent.action?articleId=2170190||request_locale=ZH_TWnewscontent.action阿根廷玉米產量料降至2130萬噸,因受乾旱影響根據《廣發期貨》財經網顯示,布宜諾斯艾利斯穀物交易所週四稱,下調阿根廷2011/…NEW_CMD"
